P28-16R/2,1518317.307,690548.762
CL,1518351.476,690589.520,P28-17L,88°-05′-21.24″, F2B-H
P28-17L/1,1518351.566,690592.218
P28-17L/2,1518351.386,690586.822
CL,1518318.836,690590.609,P28-17R,88°-05′-21.24″, F2B-H
P28-17R/1,1518318.926,690593.307
P28-17R/2,1518318.746,690587.910
CL,1518348.408,690629.645,P28-18,88°-05′-21.24″, F4BR-A
P28-18/1,1518346.992,690632.193
P28-18/2,1518349.991,690632.093
P28-18/3,1518349.824,690627.096
P28-18/4,1518346.825,690627.196
CL,1518350.334,690669.603,P28-19,88°-05′-21.24″, F4BR-B
P28-19/1,1518348.418,690672.168
P28-19/2,1518352.416,690672.035
P28-19/3,1518352.250,690667.037
P28-19/4,1518348.252,690667.171
CL,1518351.700,690709.580,P28-20,88°-05′-21.24″, F4BR-B
P28-20/1,1518349.784,690712.146
P28-20/2,1518353.782,690712.012
P28-20/3,1518353.616,690707.015
P28-20/4,1518349.618,690707.148
CL,1518353.044,690749.557,P28-21,88°-05′-21.24″, F4BR-B
P28-21/1,1518351.128,690752.122
P28-21/2,1518355.126,690751.989
P28-21/3,1518354.960,690746.991
P28-21/4,1518350.962,690747.125
CL,1518354.678,690789.525,P28-22,88°-05′-21.24″, F4BR-B
P28-22/1,1518352.762,690792.091
P28-22/2,1518356.760,690791.957
P28-22/3,1518356.594,690786.960
P28-22/4,1518352.596,690787.094
CL,1518356.768,690829.477,P28-23,88°-05′-21.24″, F4BR-B
P28-23/1,1518354.852,690832.042
P28-23/2,1518358.850,690831.909
P28-23/3,1518358.684,690826.912
P28-23/4,1518354.686,690827.045
CL,1518358.891,690869.429,P28-24,88°-05′-21.24″, F4BR-B
P28-24/1,1518356.975,690871.995
P28-24/2,1518360.973,690871.861
P28-24/3,1518360.807,690866.864
P28-24/4,1518356.809,690866.997
CL,1518360.618,690909.393,P28-25,88°-05′-21.24″, F4BR-A
P28-25/1,1518359.202,690911.942
P28-25/2,1518362.201,690911.842
P28-25/3,1518362.034,690906.844
P28-25/4,1518359.035,690906.944
CL,1518361.951,690949.371,P29-01,88°-05′-21.24″, F4BR-A
P29-01/1,1518360.535,690951.919
P29-01/2,1518363.534,690951.819
P29-01/3,1518363.367,690946.822
P29-01/4,1518360.368,690946.922
CL,1518363.285,690989.349,P29-02,88°-05′-21.24″, F4BR-A
P29-02/1,1518361.869,690991.897
P29-02/2,1518364.868,690991.797
P29-02/3,1518364.701,690986.800
P29-02/4,1518361.702,690986.900
CL,1518364.618,691029.327,P29-03,88°-05′-21.24″, F4BR-A
P29-03/1,1518363.202,691031.876
P29-03/2,1518366.201,691031.776
P29-03/3,1518366.034,691026.779
P29-03/4,1518363.035,691026.879
CL,1518375.430,691063.985,P29-04L,102°-32′-35.24″, F2B-H
P29-04L/1,1518374.844,691066.621
P29-04L/2,1518376.016,691061.350
CL,1518360.936,691064.469,P29-04R,88°-05′-21.24″, F2B-H
P29-04R/1,1518361.026,691067.167
P29-04R/2,1518360.846,691061.770
CL,1518367.952,691099.254,P29-05L,100°-37′-54.24″, F2B-H
P29-05L/1,1518367.454,691101.908
P29-05L/2,1518368.450,691096.600
CL,1518336.633,691100.299,P29-05R,88°-05′-21.24″, F2B-H
P29-05R/1,1518336.723,691102.997
P29-05R/2,1518336.543,691097.600
CL,1518368.119,691134.268,P29-06,88°-05′-21.24″, F4BR-A
P29-06/1,1518366.703,691136.817
P29-06/2,1518369.702,691136.717
P29-06/3,1518369.535,691131.719
P29-06/4,1518366.536,691131.819
CL,1518369.286,691169.250,P29-07,88°-05′-21.24″, F4BR-A
P29-07/1,1518367.870,691171.798
P29-07/2,1518370.869,691171.698
P29-07/3,1518370.702,691166.701
P29-07/4,1518367.703,691166.801
CL,1518370.453,691204.229,P29-08,88°-05′-21.24″, F4BR-A
P29-08/1,1518369.037,691206.778
P29-08/2,1518372.036,691206.678
P29-08/3,1518371.869,691201.680
P29-08/4,1518368.870,691201.780
CL,1518371.620,691239.210,P29-09,88°-05′-21.24″, F4BR-A
P29-09/1,1518370.204,691241.758
P29-09/2,1518373.203,691241.658
P29-09/3,1518373.036,691236.661
P29-09/4,1518370.037,691236.761
CL,1518372.954,691279.188,P29-10,88°-05′-21.24″, F4BR-A
P29-10/1,1518371.538,691281.737
P29-10/2,1518374.537,691281.637
P29-10/3,1518374.370,691276.640
P29-10/4,1518371.371,691276.740
CL,1518374.288,691319.165,P29-11,88°-05′-21.24″, F4BR-A
P29-11/1,1518372.872,691321.714
P29-11/2,1518375.871,691321.614
P29-11/3,1518375.704,691316.616
P29-11/4,1518372.705,691316.717
CL,1518375.622,691359.143,P29-12,88°-05′-21.24″, F4BR-A
P29-12/1,1518374.206,691361.692
P29-12/2,1518377.205,691361.591
P29-12/3,1518377.038,691356.594
P29-12/4,1518374.039,691356.694
CL,1518376.955,691399.121,P29-13,88°-05′-21.24″, F4BR-A
P29-13/1,1518375.539,691401.669
P29-13/2,1518378.538,691401.569
P29-13/3,1518378.371,691396.572
P29-13/4,1518375.372,691396.672
CL,1518378.289,691439.099,P29-14,88°-05′-21.24″, F4BR-A
P29-14/1,1518376.873,691441.648
P29-14/2,1518379.872,691441.548
P29-14/3,1518379.705,691436.551
P29-14/4,1518376.706,691436.651
CL,1518379.623,691479.076,P29-15,88°-05′-21.24″, F4BR-A
P29-15/1,1518378.207,691481.625
P29-15/2,1518381.206,691481.525
P29-15/3,1518381.039,691476.527
P29-15/4,1518378.040,691476.628
CL,1518380.956,691519.054,P29-16,88°-05′-21.24″, F4BR-A
P29-16/1,1518379.540,691521.603
P29-16/2,1518382.539,691521.502
P29-16/3,1518382.372,691516.505
P29-16/4,1518379.373,691516.605
CL,1518382.290,691559.032,P29-17,88°-05′-21.24″, F4BR-A
P29-17/1,1518380.874,691561.580
P29-17/2,1518383.873,691561.480
P29-17/3,1518383.706,691556.483
P29-17/4,1518380.707,691556.583
CL,1518383.624,691599.010,P29-18,88°-05′-21.24″, F4BR-A
P29-18/1,1518382.208,691601.559
P29-18/2,1518385.207,691601.459
P29-18/3,1518385.040,691596.462
P29-18/4,1518382.041,691596.562
CL,1518384.958,691638.987,P29-19,88°-05′-21.24″, F4BR-A
P29-19/1,1518383.542,691641.536
P29-19/2,1518386.541,691641.436
P29-19/3,1518386.374,691636.439
P29-19/4,1518383.375,691636.539
CL,1518386.291,691678.965,P29-20,88°-05′-21.24″, F4BR-A
P29-20/1,1518384.875,691681.514
P29-20/2,1518387.874,691681.413
P29-20/3,1518387.707,691676.416
P29-20/4,1518384.708,691676.516
CL,1518387.625,691718.943,P29-21,88°-05′-21.24″, F4BR-A
P29-21/1,1518386.209,691721.491
P29-21/2,1518389.208,691721.391
P29-21/3,1518389.041,691716.394
P29-21/4,1518386.042,691716.494
CL,1518388.959,691758.922,P29-22,88°-05′-21.24″, F4BR-A
P29-22/1,1518387.543,691761.470
P29-22/2,1518390.542,691761.370
P29-22/3,1518390.375,691756.373
P29-22/4,1518387.376,691756.473
CL,1518390.293,691798.898,P29-23,88°-05′-21.24″, F4BR-A
P29-23/1,1518388.877,691801.447
P29-23/2,1518391.876,691801.347
P29-23/3,1518391.709,691796.350
P29-23/4,1518388.710,691796.450
CL,1518391.626,691838.876,P29-24,88°-05′-21.24″, F4BR-A
P29-24/1,1518390.210,691841.425
P29-24/2,1518393.209,691841.325
P29-24/3,1518393.042,691836.327
P29-24/4,1518390.043,691836.427
CL,1518392.793,691873.858,P29-25,88°-05′-21.24″, F4BR-A
P29-25/1,1518391.377,691876.406
P29-25/2,1518394.376,691876.306
P29-25/3,1518394.209,691871.309
P29-25/4,1518391.210,691871.409
CL,1518393.960,691908.837,P30-01,88°-05′-21.24″, F4BR-A
P30-01/1,1518392.544,691911.386
P30-01/2,1518395.543,691911.286
P30-01/3,1518395.376,691906.288
P30-01/4,1518392.377,691906.388
CL,1518395.127,691943.818,P30-02,88°-05′-21.24″, F4BR-A
P30-02/1,1518393.711,691946.366
P30-02/2,1518396.710,691946.266
P30-02/3,1518396.543,691941.269
P30-02/4,1518393.544,691941.369
CL,1518396.461,691983.795,P30-02A,88°-05′-21.24″, F4BR-A
P30-02A/1,1518395.045,691986.344
P30-02A/2,1518398.044,691986.244
P30-02A/3,1518397.877,691981.247
P30-02A/4,1518394.878,691981.347
CL,1518397.795,692023.773,P30-03,88°-05′-21.24″, F4BR-A
P30-03/1,1518396.379,692026.322
P30-03/2,1518399.378,692026.222
P30-03/3,1518399.211,692021.224
P30-03/4,1518396.212,692021.325
CL,1518398.962,692058.754,P30-04,88°-05′-21.24″, F4BR-A
P30-04/1,1518397.546,692061.302
